Fn,Cw
0.15,6.608002980672311e-6
0.2,1.4268608432937394e-5
0.25,2.9793675228657348e-5
0.3,8.668525699501856e-5
0.35,0.001535153974918804
0.4,0.004897448008053455
0.45,0.006239930631128075
0.5,0.005961820358509281
0.55,0.0050947892305834705
0.6,0.004157380541845265
0.65,0.0033335811468837833
0.7,0.0026627808165336393
0.75,0.002133359874771437
0.8,0.001719938747062244
0.85,0.0013973780818003776
0.9,0.0011446473884591437
0.95,0.0009453149721230128
1.0,0.0007868558541877256
