log2h,normAerror,normMerror
-1.0,3.653378649370875e-5,0.029092058382580884
-2.0,9.451324440856723e-6,0.013693704290199024
-3.0,7.908606456386025e-7,0.005286601198594501
-4.0,5.772922628821675e-8,0.002794199987655679
-5.0,3.6022910210320447e-9,0.0012719244203717298
-6.0,2.1524504401071454e-10,0.0005677291608439998
