h,N,Cw
0.125,24,0.0066843832008075515
0.08838834764831845,36,0.0064418412064181
0.0625,60,0.006305698546372399
0.04419417382415922,115,0.0061417384973105555
0.03125,223,0.0060347575710882895
0.02209708691207961,424,0.005996437925014919
